imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0323303,Mowaten we mokhber we haramy,2001,2001-12-15,"Comedy, Drama, Musical",135,Egypt,Arabic,Daoud Abdel Sayed,Daoud Abdel Sayed,Diogenes Film Production,6.4,529,EGP 3000000,,,,2.0,
tt0323350,Na svoji Vesni,2002,2002-04-10,Comedy,92,Slovenia,Slovenian,"Saso Dukic, Klemen Dvornik","Saso Dukic, Franci Kek",Festival Novo Mesto,4.0,125,,,,,2.0,
tt0323364,Narendran Makan Jayakanthan Vaka,2001,2001-08-01,"Comedy, Drama",150,India,Malayalam,Sathyan Anthikad,Sreenivasan,,6.3,228,,,,,,
tt0323425,No debes estar aquí,2002,2002-05-24,"Horror, Thriller",96,"Spain, Argentina, France",Spanish,Jacobo Rispa,"Nacho Cabana, Ernesto Pozuelo",Alquimia Cinema,4.2,235,,,$ 839943,,8.0,
tt0323443,Nousukausi,2003,2003-02-28,Comedy,98,Finland,Finnish,Johanna Vuoksenmaa,Mika Ripatti,Yleisradio (YLE),6.7,2748,EUR 1087000,,$ 1337433,,12.0,
tt0323460,Obracun u kazino kabareu,1993,1993,Comedy,81,Federal Republic of Yugoslavia,Serbian,Zoran Calic,"Dragan Calic, Zoran Calic",Produkcija Stig,3.5,156,,,,,,
tt0323465,Octane,2003,2003-11-14,"Horror, Mystery, Thriller",91,"UK, Luxembourg",English,Marcus Adams,Stephen Volk,Delux Productions,4.3,3024,$ 11500000,,,,58.0,9.0
tt0323546,Paayum Puli,1985,1985-01-01,Action,130,India,"Tamil, Hindi","S.P. Muthuraman, S.P. Muthuraman","Panchu Arunachalam, Panchu Arunachalam",A.V.M. Productions,6.6,127,,,INR 18000000,,,
tt0323551,Pahat pojat,2003,2003-01-17,"Action, Biography, Crime",126,Finland,Finnish,Aleksi Mäkelä,"Pekka Lehtosaari, Anssi Miettinen",Solar Films,6.2,4483,EUR 1525000,,$ 4778324,,18.0,1.0
tt0323572,Papi chulo,2003,2003-04-16,"Comedy, Romance",80,USA,"English, Spanish",Linda Mendoza,"Laura Angelica Simon, Steve Antin",Fox 2000 Pictures,4.8,3887,,$ 6130049,$ 12661189,33.0,40.0,31.0
